run_id,candidate,track,suite,case_id,group,status,hard_failures,review_items,evidence_path
20260915T024332Z-everos-r0-smoke-3218a2b2,everos,r0,smoke,F02,fact,FAIL,"[""no expected native source reference found""]","[""required: 技术方案默认使用 Python""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T024332Z-everos-r0-smoke-3218a2b2/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,F05,fact,FAIL,"[""native source references are incomplete""]","[""required: 用户负责 P1"", ""required: 邮件要求简洁"", ""required: 报告必须保留指标""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,N03,negative,REVIEW_REQUIRED,[],"[""forbidden: 用户负责预算""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,U01,user,FAIL,"[""missing required token: 详细"", ""no expected native source reference found""]","[""required: U2 喜欢详细回答"", ""forbidden: U2 喜欢简洁回答""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,U05,user,REVIEW_REQUIRED,[],"[""forbidden: 未认证调用者读取 U1 数据""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,D02,domain,REVIEW_REQUIRED,[],"[""forbidden: 报告业务读取邮件私有代号""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,D03,domain,FAIL,"[""no expected native source reference found""]","[""required: 用户是 P1 负责人""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,P01,project,FAIL,"[""no expected native source reference found""]","[""required: P1 先接 Email Agent""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,P04,project,REVIEW_REQUIRED,[],"[""forbidden: 未授权 Agent 读取 P1""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
20260915T025720Z-everos-r0-decision-d4fae806,everos,r0,decision,C02,conflict,FAIL,"[""missing required token: 上海"", ""no expected native source reference found""]","[""required: 用户当前住在上海"", ""forbidden: 用户当前仍住北京""]",/home/zhongdixiu/codes/MemoryBench/memory-selection-bench/artifacts/20260915T025720Z-everos-r0-decision-d4fae806/case_results.json
